cod_mpio,cod_dpto,nom_mpio,n_sedes,n_sedes_ese
27160,27,CÉRTEGUI,3,0
27205,27,CONDOTO,8,1
27245,27,EL CARMEN DE ATRATO,3,1
27250,27,EL LITORAL DEL SAN JUAN,5,0
27361,27,ISTMINA,41,1
27372,27,JURADÓ,2,0
27413,27,LLORÓ,3,0
27425,27,MEDIO ATRATO,3,0
27430,27,MEDIO BAUDÓ,4,0
27450,27,MEDIO SAN JUAN,3,0
27491,27,NÓVITA,3,0
27493,27,NUEVO BELÉN DE BAJIRÁ,7,0
27495,27,NUQUÍ,3,0
27580,27,RÍO IRÓ,4,0
27600,27,RÍO QUITO,2,0
27615,27,RIOSUCIO,10,0
27660,27,SAN JOSÉ DEL PALMAR,2,0
27745,27,SIPÍ,3,0
27787,27,TADÓ,16,5
27800,27,UNGUÍA,4,0
27810,27,UNIÓN PANAMERICANA,6,0
41001,41,NEIVA,821,16
41006,41,ACEVEDO,7,2
41013,41,AGRADO,2,1
41016,41,AIPE,6,1
41020,41,ALGECIRAS,12,1
41026,41,ALTAMIRA,1,1
41078,41,BARAYA,2,1
41132,41,CAMPOALEGRE,20,1
41206,41,COLOMBIA,2,1
41244,41,ELÍAS,1,1
41298,41,GARZÓN,91,5
41306,41,GIGANTE,12,1
41319,41,GUADALUPE,15,1
41349,41,HOBO,5,1
41357,41,ÍQUIRA,5,2
41359,41,ISNOS,16,1
41378,41,LA ARGENTINA,13,2
41396,41,LA PLATA,64,6
41483,41,NÁTAGA,1,1
41503,41,OPORAPA,4,1
41518,41,PAICOL,3,1
41524,41,PALERMO,9,1
41530,41,PALESTINA,3,3
41548,41,PITAL,13,1
41551,41,PITALITO,246,6
41615,41,RIVERA,17,1
41660,41,SALADOBLANCO,2,1
41668,41,SAN AGUSTÍN,20,1
41676,41,SANTA MARÍA,3,1
41770,41,SUAZA,7,1
41791,41,TARQUI,4,1
41797,41,TESALIA,8,2
41799,41,TELLO,3,3
41801,41,TERUEL,4,1
41807,41,TIMANÁ,14,1
41872,41,VILLAVIEJA,1,1
41885,41,YAGUARÁ,5,1
44001,44,RIOHACHA,243,7
44035,44,ALBANIA,18,6
44078,44,BARRANCAS,29,5
44090,44,DIBULLA,24,8
44098,44,DISTRACCIÓN,7,3
44110,44,EL MOLINO,2,1
44279,44,FONSECA,43,6
44378,44,HATONUEVO,5,1
44420,44,LA JAGUA DEL PILAR,2,2
44430,44,MAICAO,79,3
44560,44,MANAURE,16,4
44650,44,SAN JUAN DEL CESAR,72,23
44847,44,URIBIA,43,10
44855,44,URUMITA,10,1
44874,44,VILLANUEVA,17,1
47001,47,SANTA MARTA,751,30
47030,47,ALGARROBO,5,3
47053,47,ARACATACA,16,6
47058,47,ARIGUANÍ,13,3
47161,47,CERRO DE SAN ANTONIO,0,0
47170,47,CHIVOLO,0,0
47189,47,CIÉNAGA,86,8
47205,47,CONCORDIA,5,4
47245,47,EL BANCO,43,5
47258,47,EL PIÑÓN,6,4
47268,47,EL RETÉN,7,1
47288,47,FUNDACIÓN,61,8
47318,47,GUAMAL,12,3
47460,47,NUEVA GRANADA,5,3
47541,47,PEDRAZA,5,5
47545,47,PIJIÑO DEL CARMEN,6,3
47551,47,PIVIJAY,13,3
47555,47,PLATO,40,15
47570,47,PUEBLOVIEJO,6,4
47605,47,REMOLINO,4,4
47660,47,SABANAS DE SAN ÁNGEL,11,8
47675,47,SALAMINA,6,2
47692,47,SAN SEBASTIÁN DE BUENAVISTA,14,4
47703,47,SAN ZENÓN,8,5
47707,47,SANTA ANA,17,4
47720,47,SANTA BÁRBARA DE PINTO,7,6
47745,47,SITIONUEVO,11,6
47798,47,TENERIFE,6,4
47960,47,ZAPAYÁN,5,5
47980,47,ZONA BANANERA,24,12
50001,50,VILLAVICENCIO,791,20
50006,50,ACACÍAS,119,4
50110,50,BARRANCA DE UPÍA,5,1
50124,50,CABUYARO,2,1
50150,50,CASTILLA LA NUEVA,8,3
50223,50,CUBARRAL,2,1
50226,50,CUMARAL,11,1
50245,50,EL CALVARIO,1,1
50251,50,EL CASTILLO,1,1
50270,50,EL DORADO,1,1
50287,50,FUENTE DE ORO,5,1
50313,50,GRANADA,74,9
50318,50,GUAMAL,7,1
50325,50,MAPIRIPÁN,3,2
50330,50,MESETAS,1,1
50350,50,LA MACARENA,4,2
50370,50,URIBE,2,2
50400,50,LEJANÍAS,3,1
50450,50,PUERTO CONCORDIA,1,1
50568,50,PUERTO GAITÁN,31,3
50573,50,PUERTO LÓPEZ,18,2
50577,50,PUERTO LLERAS,3,1
50590,50,PUERTO RICO,1,1
50606,50,RESTREPO,15,1
50680,50,SAN CARLOS DE GUAROA,1,1
50683,50,SAN JUAN DE ARAMA,2,1
50686,50,SAN JUANITO,1,1
50689,50,SAN MARTÍN,23,1
