cod_dpto,nom_dpto,cod_mpio,nom_mpio,a_o,tipoatencion,atenciones
05,Antioquia,05059,Armenia,2017,CONSULTAS,4622
05,Antioquia,05059,Armenia,2017,HOSPITALIZACIONES,57
05,Antioquia,05059,Armenia,2017,PROCEDIMIENTOS DE SALUD,13708
05,Antioquia,05059,Armenia,2017,URGENCIAS,221
05,Antioquia,05059,Armenia,2018,CONSULTAS,4758
05,Antioquia,05059,Armenia,2018,HOSPITALIZACIONES,58
05,Antioquia,05059,Armenia,2018,PROCEDIMIENTOS DE SALUD,12162
05,Antioquia,05059,Armenia,2018,URGENCIAS,144
05,Antioquia,05059,Armenia,2019,CONSULTAS,10896
05,Antioquia,05059,Armenia,2019,HOSPITALIZACIONES,157
05,Antioquia,05059,Armenia,2019,PROCEDIMIENTOS DE SALUD,22402
05,Antioquia,05059,Armenia,2019,URGENCIAS,234
05,Antioquia,05059,Armenia,2020,CONSULTAS,15543
05,Antioquia,05059,Armenia,2020,HOSPITALIZACIONES,400
05,Antioquia,05059,Armenia,2020,PROCEDIMIENTOS DE SALUD,35134
05,Antioquia,05059,Armenia,2020,URGENCIAS,298
05,Antioquia,05059,Armenia,2021,CONSULTAS,10218
05,Antioquia,05059,Armenia,2021,HOSPITALIZACIONES,220
05,Antioquia,05059,Armenia,2021,PROCEDIMIENTOS DE SALUD,28174
05,Antioquia,05059,Armenia,2021,URGENCIAS,311
05,Antioquia,05079,Barbosa,2017,CONSULTAS,150605
05,Antioquia,05079,Barbosa,2017,HOSPITALIZACIONES,1098
05,Antioquia,05079,Barbosa,2017,PROCEDIMIENTOS DE SALUD,110843
05,Antioquia,05079,Barbosa,2017,URGENCIAS,9045
05,Antioquia,05079,Barbosa,2018,CONSULTAS,233545
05,Antioquia,05079,Barbosa,2018,HOSPITALIZACIONES,3133
05,Antioquia,05079,Barbosa,2018,PROCEDIMIENTOS DE SALUD,456734
05,Antioquia,05079,Barbosa,2018,URGENCIAS,7849
05,Antioquia,05079,Barbosa,2019,CONSULTAS,259517
05,Antioquia,05079,Barbosa,2019,HOSPITALIZACIONES,3349
05,Antioquia,05079,Barbosa,2019,PROCEDIMIENTOS DE SALUD,336500
