cod_dpto,dpto,cod_mpio,nom_mpio,tipo_municipio,longitud,latitud,llave_norm
08,ATLÁNTICO,08573,PUERTO COLOMBIA,Municipio,,,ATLANTICO|PUERTO COLOMBIA
08,ATLÁNTICO,08606,REPELÓN,Municipio,,,ATLANTICO|REPELON
08,ATLÁNTICO,08634,SABANAGRANDE,Municipio,,,ATLANTICO|SABANAGRANDE
08,ATLÁNTICO,08638,SABANALARGA,Municipio,,,ATLANTICO|SABANALARGA
08,ATLÁNTICO,08675,SANTA LUCÍA,Municipio,,,ATLANTICO|SANTA LUCIA
08,ATLÁNTICO,08685,SANTO TOMÁS,Municipio,,,ATLANTICO|SANTO TOMAS
08,ATLÁNTICO,08758,SOLEDAD,Municipio,,,ATLANTICO|SOLEDAD
08,ATLÁNTICO,08770,SUAN,Municipio,,,ATLANTICO|SUAN
08,ATLÁNTICO,08832,TUBARÁ,Municipio,,,ATLANTICO|TUBARA
08,ATLÁNTICO,08849,USIACURÍ,Municipio,,,ATLANTICO|USIACURI
11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",Municipio,,,BOGOTA D C|BOGOTA D C
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,Municipio,,,BOLIVAR|CARTAGENA DE INDIAS
13,BOLÍVAR,13006,ACHÍ,Municipio,,,BOLIVAR|ACHI
13,BOLÍVAR,13030,ALTOS DEL ROSARIO,Municipio,,,BOLIVAR|ALTOS DEL ROSARIO
13,BOLÍVAR,13042,ARENAL,Municipio,,,BOLIVAR|ARENAL
13,BOLÍVAR,13052,ARJONA,Municipio,,,BOLIVAR|ARJONA
13,BOLÍVAR,13062,ARROYOHONDO,Municipio,,,BOLIVAR|ARROYOHONDO
13,BOLÍVAR,13074,BARRANCO DE LOBA,Municipio,,,BOLIVAR|BARRANCO DE LOBA
13,BOLÍVAR,13140,CALAMAR,Municipio,,,BOLIVAR|CALAMAR
13,BOLÍVAR,13160,CANTAGALLO,Municipio,,,BOLIVAR|CANTAGALLO
13,BOLÍVAR,13188,CICUCO,Municipio,,,BOLIVAR|CICUCO
13,BOLÍVAR,13212,CÓRDOBA,Municipio,,,BOLIVAR|CORDOBA
13,BOLÍVAR,13222,CLEMENCIA,Municipio,,,BOLIVAR|CLEMENCIA
13,BOLÍVAR,13244,EL CARMEN DE BOLÍVAR,Municipio,,,BOLIVAR|EL CARMEN DE BOLIVAR
13,BOLÍVAR,13248,EL GUAMO,Municipio,,,BOLIVAR|EL GUAMO
13,BOLÍVAR,13268,EL PEÑÓN,Municipio,,,BOLIVAR|EL PENON
13,BOLÍVAR,13300,HATILLO DE LOBA,Municipio,,,BOLIVAR|HATILLO DE LOBA
13,BOLÍVAR,13430,MAGANGUÉ,Municipio,,,BOLIVAR|MAGANGUE
13,BOLÍVAR,13433,MAHATES,Municipio,,,BOLIVAR|MAHATES
13,BOLÍVAR,13440,MARGARITA,Municipio,,,BOLIVAR|MARGARITA
13,BOLÍVAR,13442,MARÍA LA BAJA,Municipio,,,BOLIVAR|MARIA LA BAJA
