cod_mpio,cod_dpto,nom_mpio,poblacion,afiliados_total,af_subsidiado,af_contributivo,pct_rural_afiliados,fuente
13468,13,SANTA CRUZ DE MOMPOX,0,0,,,,bdua
13473,13,MORALES,14070,14070,13144.0,926.0,36.127,bdua
13490,13,NOROSÍ,7162,7162,6688.0,474.0,64.13,bdua
13549,13,PINILLOS,23181,23181,21417.0,1764.0,81.433,bdua
13580,13,REGIDOR,6408,6408,5369.0,1039.0,47.16,bdua
13600,13,RÍO VIEJO,8165,8165,6999.0,1166.0,49.479,bdua
13620,13,SAN CRISTÓBAL,8154,8154,7041.0,1113.0,57.518,bdua
13647,13,SAN ESTANISLAO,16337,16337,14586.0,1751.0,28.249,bdua
13650,13,SAN FERNANDO,9586,9586,9182.0,404.0,53.839,bdua
13654,13,SAN JACINTO,25752,25752,22169.0,3583.0,16.581,bdua
13655,13,SAN JACINTO DEL CAUCA,9108,9108,8495.0,613.0,56.511,bdua
13657,13,SAN JUAN NEPOMUCENO,38184,38184,32732.0,5452.0,26.925,bdua
13667,13,SAN MARTÍN DE LOBA,15747,15747,14911.0,836.0,17.699,bdua
13670,13,SAN PABLO,29346,29346,26221.0,3125.0,30.72,bdua
13673,13,SANTA CATALINA,12073,12073,11134.0,939.0,39.327,bdua
13683,13,SANTA ROSA,19153,19153,16207.0,2946.0,9.153,bdua
13688,13,SANTA ROSA DEL SUR,47322,47322,41432.0,5890.0,31.231,bdua
13744,13,SIMITÍ,18519,18519,16851.0,1668.0,60.262,bdua
13760,13,SOPLAVIENTO,8465,8465,6955.0,1510.0,29.415,bdua
13780,13,TALAIGUA NUEVO,13218,13218,11576.0,1642.0,47.67,bdua
13810,13,TIQUISIO,22268,22268,21326.0,942.0,54.572,bdua
13836,13,TURBACO,90642,90642,54992.0,35650.0,14.232,bdua
13838,13,TURBANÁ,14535,14535,10542.0,3993.0,41.204,bdua
13873,13,VILLANUEVA,20190,20190,17676.0,2514.0,24.433,bdua
13894,13,ZAMBRANO,12330,12330,10280.0,2050.0,17.324,bdua
15001,15,TUNJA,210430,210430,71568.0,138862.0,9.519,bdua
15022,15,ALMEIDA,1265,1265,1079.0,186.0,77.154,bdua
15047,15,AQUITANIA,13321,13321,12328.0,993.0,59.095,bdua
15051,15,ARCABUCO,4502,4502,3656.0,846.0,58.108,bdua
15087,15,BELÉN,6826,6826,4906.0,1920.0,47.187,bdua
15090,15,BERBEO,1298,1298,1101.0,197.0,78.197,bdua
15092,15,BETÉITIVA,1187,1187,910.0,277.0,73.799,bdua
15097,15,BOAVITA,3875,3875,3338.0,537.0,60.542,bdua
15104,15,BOYACÁ,4479,4479,3862.0,617.0,76.624,bdua
15106,15,BRICEÑO,1878,1878,1709.0,169.0,81.949,bdua
15109,15,BUENAVISTA,3943,3943,3605.0,338.0,84.301,bdua
15114,15,BUSBANZÁ,803,803,526.0,277.0,45.828,bdua
15131,15,CALDAS,2307,2307,2093.0,214.0,83.832,bdua
15135,15,CAMPOHERMOSO,2258,2258,1966.0,292.0,76.794,bdua
15162,15,CERINZA,2764,2764,2107.0,657.0,59.949,bdua
15172,15,CHINAVITA,2281,2281,1956.0,325.0,62.779,bdua
15176,15,CHIQUINQUIRÁ,58142,58142,31388.0,26754.0,17.856,bdua
15180,15,CHISCAS,2524,2524,2320.0,204.0,75.872,bdua
15183,15,CHITA,6694,6694,6036.0,658.0,77.502,bdua
15185,15,CHITARAQUE,5148,5148,4759.0,389.0,80.42,bdua
15187,15,CHIVATÁ,2365,2365,1960.0,405.0,64.609,bdua
15189,15,CIÉNEGA,3648,3648,3295.0,353.0,75.439,bdua
15204,15,CÓMBITA,7250,7250,6042.0,1208.0,80.745,bdua
15212,15,COPER,2241,2241,2033.0,208.0,63.097,bdua
15215,15,CORRALES,1738,1738,1083.0,655.0,36.249,bdua
15218,15,COVARACHÍA,2519,2519,2327.0,192.0,81.302,bdua
15223,15,CUBARÁ,11194,11194,10138.0,1056.0,71.297,bdua
15224,15,CUCAITA,3135,3135,2708.0,427.0,56.045,bdua
15226,15,CUÍTIVA,1363,1363,1187.0,176.0,75.128,bdua
15232,15,CHÍQUIZA,3905,3905,3637.0,268.0,85.941,bdua
15236,15,CHIVOR,1689,1689,1442.0,247.0,64.062,bdua
15238,15,DUITAMA,132043,132043,53616.0,78427.0,13.319,bdua
15244,15,EL COCUY,3431,3431,2975.0,456.0,52.142,bdua
15248,15,EL ESPINO,1876,1876,1647.0,229.0,56.343,bdua
15272,15,FIRAVITOBA,4084,4084,2950.0,1134.0,55.999,bdua
15276,15,FLORESTA,2816,2816,2378.0,438.0,69.034,bdua
15293,15,GACHANTIVÁ,2449,2449,2177.0,272.0,82.074,bdua
15296,15,GÁMEZA,3728,3728,2905.0,823.0,61.427,bdua
15299,15,GARAGOA,15390,15390,9623.0,5767.0,23.106,bdua
15317,15,GUACAMAYAS,1123,1123,990.0,133.0,69.368,bdua
15322,15,GUATEQUE,8498,8498,5528.0,2970.0,31.231,bdua
15325,15,GUAYATÁ,2395,2395,2076.0,319.0,68.768,bdua
15332,15,GÜICÁN DE LA SIERRA,0,0,,,,bdua
15362,15,IZA,1499,1499,1050.0,449.0,48.232,bdua
15367,15,JENESANO,5540,5540,4901.0,639.0,76.209,bdua
15368,15,JERICÓ,3311,3311,2783.0,528.0,72.546,bdua
15377,15,LABRANZAGRANDE,2689,2689,2290.0,399.0,60.543,bdua
15380,15,LA CAPILLA,1827,1827,1666.0,161.0,67.98,bdua
15401,15,LA VICTORIA,885,885,789.0,96.0,79.548,bdua
15403,15,LA UVITA,1754,1754,1493.0,261.0,61.802,bdua
15407,15,VILLA DE LEYVA,15494,15494,9529.0,5965.0,38.208,bdua
15425,15,MACANAL,2856,2856,2489.0,367.0,72.304,bdua
15442,15,MARIPÍ,4372,4372,4009.0,363.0,83.028,bdua
15455,15,MIRAFLORES,7483,7483,5559.0,1924.0,46.385,bdua
15464,15,MONGUA,3246,3246,2490.0,756.0,55.206,bdua
15466,15,MONGUÍ,3311,3311,2494.0,817.0,49.653,bdua
15469,15,MONIQUIRÁ,30634,30634,19839.0,10795.0,40.181,bdua
15476,15,MOTAVITA,4091,4091,3550.0,541.0,84.551,bdua
15480,15,MUZO,6897,6897,5764.0,1133.0,45.716,bdua
15491,15,NOBSA,9604,9604,5518.0,4086.0,28.738,bdua
15494,15,NUEVO COLÓN,4132,4132,3799.0,333.0,80.058,bdua
15500,15,OICATÁ,1930,1930,1454.0,476.0,76.373,bdua
15507,15,OTANCHE,6704,6704,5918.0,786.0,50.492,bdua
15511,15,PACHAVITA,1450,1450,1302.0,148.0,81.724,bdua
15514,15,PÁEZ,2413,2413,2089.0,324.0,73.311,bdua
15516,15,PAIPA,36120,36120,16317.0,19803.0,30.487,bdua
15518,15,PAJARITO,1634,1634,1303.0,331.0,56.242,bdua
15522,15,PANQUEBA,1251,1251,1109.0,142.0,57.874,bdua
15531,15,PAUNA,5545,5545,5036.0,509.0,73.255,bdua
15533,15,PAYA,1855,1855,1695.0,160.0,71.105,bdua
15537,15,PAZ DE RÍO,3425,3425,1660.0,1765.0,38.015,bdua
15542,15,PESCA,5490,5490,4892.0,598.0,69.581,bdua
15550,15,PISBA,1436,1436,1299.0,137.0,75.139,bdua
15572,15,PUERTO BOYACÁ,49361,49361,31659.0,17702.0,20.828,bdua
15580,15,QUÍPAMA,4049,4049,3573.0,476.0,68.387,bdua
15599,15,RAMIRIQUÍ,8799,8799,7308.0,1491.0,63.61,bdua
15600,15,RÁQUIRA,5744,5744,4799.0,945.0,53.76,bdua
15621,15,RONDÓN,1736,1736,1594.0,142.0,77.189,bdua
15632,15,SABOYÁ,9857,9857,8930.0,927.0,87.582,bdua
15638,15,SÁCHICA,4778,4778,4232.0,546.0,53.328,bdua
15646,15,SAMACÁ,22362,22362,12944.0,9418.0,50.926,bdua
15660,15,SAN EDUARDO,1413,1413,1253.0,160.0,72.47,bdua
15664,15,SAN JOSÉ DE PARE,3827,3827,3564.0,263.0,76.692,bdua
15667,15,SAN LUIS DE GACENO,3589,3589,3078.0,511.0,51.101,bdua
15673,15,SAN MATEO,2590,2590,2262.0,328.0,66.641,bdua
15676,15,SAN MIGUEL DE SEMA,2237,2237,1660.0,577.0,73.938,bdua
15681,15,SAN PABLO DE BORBUR,5949,5949,5435.0,514.0,68.516,bdua
15686,15,SANTANA,7746,7746,6674.0,1072.0,50.284,bdua
