cod_mpio,cod_dpto,nom_mpio,a_o,poblacion,pct_rural_disperso,fuente
05172,05,CHIGORODÓ,2020,56976.0,16.725,dane
05172,05,CHIGORODÓ,2021,57121.0,16.539,dane
05190,05,CISNEROS,2017,9778.0,13.929,dane
05190,05,CISNEROS,2018,9778.0,13.929,dane
05190,05,CISNEROS,2019,9791.0,13.472,dane
05190,05,CISNEROS,2020,9805.0,12.871,dane
05190,05,CISNEROS,2021,9892.0,12.687,dane
05197,05,COCORNÁ,2017,15438.0,59.205,dane
05197,05,COCORNÁ,2018,15438.0,59.205,dane
05197,05,COCORNÁ,2019,15606.0,57.958,dane
05197,05,COCORNÁ,2020,15823.0,56.5,dane
05197,05,COCORNÁ,2021,15902.0,56.043,dane
05206,05,CONCEPCIÓN,2017,4795.0,60.146,dane
05206,05,CONCEPCIÓN,2018,4795.0,60.146,dane
05206,05,CONCEPCIÓN,2019,4874.0,59.335,dane
05206,05,CONCEPCIÓN,2020,4951.0,58.453,dane
05206,05,CONCEPCIÓN,2021,4998.0,57.803,dane
05209,05,CONCORDIA,2017,21367.0,65.596,dane
05209,05,CONCORDIA,2018,21367.0,65.596,dane
05209,05,CONCORDIA,2019,21664.0,65.311,dane
05209,05,CONCORDIA,2020,21947.0,65.048,dane
05209,05,CONCORDIA,2021,22039.0,64.681,dane
05212,05,COPACABANA,2017,77875.0,19.952,dane
05212,05,COPACABANA,2018,77875.0,19.952,dane
05212,05,COPACABANA,2019,80676.0,20.078,dane
05212,05,COPACABANA,2020,83697.0,20.254,dane
05212,05,COPACABANA,2021,85434.0,20.186,dane
05234,05,DABEIBA,2017,23048.0,60.764,dane
05234,05,DABEIBA,2018,23048.0,60.764,dane
05234,05,DABEIBA,2019,23418.0,60.663,dane
05234,05,DABEIBA,2020,23829.0,60.481,dane
05234,05,DABEIBA,2021,24060.0,60.121,dane
05237,05,DONMATÍAS,2017,18914.0,36.084,dane
05237,05,DONMATÍAS,2018,18914.0,36.084,dane
05237,05,DONMATÍAS,2019,19033.0,35.696,dane
05237,05,DONMATÍAS,2020,19233.0,35.314,dane
05237,05,DONMATÍAS,2021,19395.0,35.045,dane
